sku_id,date,on_hand_qty,on_order_qty,safety_stock,lead_time_days,store_id_1,store_id_2,store_id_3,store_id_4,store_id_5,store_id_6,store_id_7,store_id_8,store_id_9,store_id_10
1,30-06-2024,13,111,23,7,True,False,False,False,False,False,False,False,False,False
2,30-06-2024,360,89,24,3,True,False,False,False,False,False,False,False,False,False
3,30-06-2024,115,92,11,2,True,False,False,False,False,False,False,False,False,False
4,30-06-2024,498,102,21,5,True,False,False,False,False,False,False,False,False,False
5,30-06-2024,77,83,14,2,True,False,False,False,False,False,False,False,False,False
6,30-06-2024,169,147,27,5,True,False,False,False,False,False,False,False,False,False
7,30-06-2024,490,30,41,3,True,False,False,False,False,False,False,False,False,False
8,30-06-2024,28,92,14,7,True,False,False,False,False,False,False,False,False,False
9,30-06-2024,495,86,16,3,True,False,False,False,False,False,False,False,False,False
10,30-06-2024,123,168,18,2,True,False,False,False,False,False,False,False,False,False
11,30-06-2024,312,101,38,3,True,False,False,False,False,False,False,False,False,False
12,30-06-2024,38,150,19,4,True,False,False,False,False,False,False,False,False,False
13,30-06-2024,10,122,29,2,True,False,False,False,False,False,False,False,False,False
14,30-06-2024,336,51,31,6,True,False,False,False,False,False,False,False,False,False
15,30-06-2024,333,174,36,5,True,False,False,False,False,False,False,False,False,False
16,30-06-2024,182,61,25,6,True,False,False,False,False,False,False,False,False,False
17,30-06-2024,35,56,34,3,True,False,False,False,False,False,False,False,False,False
18,30-06-2024,348,132,33,5,True,False,False,False,False,False,False,False,False,False
19,30-06-2024,152,51,24,6,True,False,False,False,False,False,False,False,False,False
20,30-06-2024,61,150,30,6,True,False,False,False,False,False,False,False,False,False
21,30-06-2024,19,179,10,2,True,False,False,False,False,False,False,False,False,False
22,30-06-2024,417,141,29,2,True,False,False,False,False,False,False,False,False,False
23,30-06-2024,210,36,34,5,True,False,False,False,False,False,False,False,False,False
24,30-06-2024,194,11,15,7,True,False,False,False,False,False,False,False,False,False
25,30-06-2024,168,110,43,3,True,False,False,False,False,False,False,False,False,False
26,30-06-2024,341,31,27,5,True,False,False,False,False,False,False,False,False,False
27,30-06-2024,195,1,11,3,True,False,False,False,False,False,False,False,False,False
28,30-06-2024,305,65,50,4,True,False,False,False,False,False,False,False,False,False
29,30-06-2024,454,92,42,7,True,False,False,False,False,False,False,False,False,False
30,30-06-2024,355,185,28,5,True,False,False,False,False,False,False,False,False,False
31,30-06-2024,450,190,28,7,True,False,False,False,False,False,False,False,False,False
32,30-06-2024,92,15,16,6,True,False,False,False,False,False,False,False,False,False
